epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
202051,ME,23,-16.571428571428573,-1.5714285714285714,-6.571428571428571,-20.714285714285715,-22.285714285714285,9.428571428571429,128.0,0.0,2264.0,,,314.6666666666667,22.66666666666667,292.0,35.0,18738.0,3118.0,49018.0,2410.0,51505.0
202052,ME,23,-15.428571428571429,2.857142857142857,0.8571428571428571,-21.285714285714285,-35.57142857142857,11.142857142857142,105.0,1.0,17067.0,,,331.6666666666667,39.66666666666666,319.0,27.0,21547.0,2809.0,42470.0,2499.0,45003.0
202053,ME,23,-18.285714285714285,-6.0,15.571428571428571,-22.857142857142858,-36.42857142857143,12.571428571428571,93.0,0.0,32090.0,,,336.0,43.0,358.0,39.0,25245.0,3698.0,40510.0,2925.0,43461.0
202101,ME,23,-17.142857142857142,-4.571428571428571,1.1428571428571428,-21.142857142857142,-21.142857142857142,9.285714285714286,122.0,0.0,42988.0,4668.0,,328.6666666666667,34.666666666666664,432.0,74.0,29019.0,3774.0,56510.0,3577.0,60111.0
202102,ME,23,-21.285714285714285,-7.0,4.857142857142857,-27.714285714285715,-22.571428571428573,9.285714285714286,136.0,0.0,51731.0,11537.0,,338.0,44.66666666666666,507.0,75.0,33219.0,4200.0,63041.0,3276.0,66345.0
202103,ME,23,-21.571428571428573,-8.857142857142858,9.285714285714286,-36.714285714285715,-25.285714285714285,9.428571428571429,99.0,0.0,58619.0,19876.0,,316.6666666666667,28.0,544.0,37.0,36598.0,3379.0,70461.0,2813.0,73320.0
202104,ME,23,-24.571428571428573,-11.428571428571429,-2.4285714285714284,-37.714285714285715,-22.571428571428573,9.142857142857142,101.0,0.0,68015.0,34758.0,,337.3333333333333,44.33333333333334,590.0,46.0,39168.0,2570.0,65117.0,2217.0,67366.0
202105,ME,23,-25.142857142857142,-9.571428571428571,-0.2857142857142857,-39.857142857142854,-25.428571428571427,10.428571428571429,87.0,0.0,130551.0,50314.0,,291.3333333333333,4.0,634.0,44.0,41065.0,1897.0,56124.0,1559.0,57711.0
202106,ME,23,-20.857142857142858,-4.714285714285714,0.5714285714285714,-33.714285714285715,-21.142857142857142,8.285714285714286,74.0,2.0,169429.0,68018.0,,318.3333333333333,23.33333333333333,647.0,13.0,42425.0,1360.0,61471.0,1061.0,62575.0
202107,ME,23,-19.0,-5.857142857142857,5.714285714285714,-34.0,-29.428571428571427,10.285714285714286,49.0,0.0,190220.0,90749.0,,280.6666666666667,0.0,658.0,11.0,43367.0,942.0,57860.0,735.0,58673.0
202108,ME,23,-16.142857142857142,-4.857142857142857,8.285714285714286,-30.714285714285715,-21.142857142857142,8.142857142857142,43.0,0.0,227192.0,108382.0,,275.6666666666667,0.0,702.0,44.0,44493.0,1126.0,59572.0,924.0,60580.0
202109,ME,23,-11.285714285714286,-2.4285714285714284,7.0,-28.857142857142858,-21.0,7.571428571428571,52.0,2.0,267398.0,134846.0,,325.3333333333333,24.33333333333333,704.0,4.0,45639.0,1146.0,56869.0,889.0,57900.0
202110,ME,23,-7.428571428571429,0.14285714285714285,27.714285714285715,-24.142857142857142,-20.714285714285715,6.428571428571429,52.0,0.0,321118.0,161198.0,,282.6666666666667,0.0,724.0,20.0,46863.0,1224.0,56407.0,971.0,57443.0
202111,ME,23,-4.142857142857143,1.1428571428571428,14.142857142857142,-23.285714285714285,-20.428571428571427,6.714285714285714,51.0,1.0,373307.0,189776.0,,242.33333333333331,0.0,728.0,4.0,48293.0,1430.0,54415.0,1202.0,55678.0
202112,ME,23,-0.7142857142857143,2.7142857142857144,39.142857142857146,-17.428571428571427,-20.142857142857142,6.0,50.0,0.0,435884.0,226611.0,,261.3333333333333,0.0,736.0,8.0,49653.0,1360.0,52631.0,1222.0,53948.0
202113,ME,23,-0.7142857142857143,6.857142857142857,18.285714285714285,-18.857142857142858,-20.428571428571427,6.0,60.0,0.0,496443.0,267287.0,,305.6666666666667,6.0,745.0,9.0,51470.0,1817.0,47730.0,1598.0,49402.0
202114,ME,23,-5.714285714285714,-0.7142857142857143,53.57142857142857,-14.857142857142858,-22.571428571428573,5.428571428571429,65.0,5.0,574339.0,316259.0,,283.3333333333333,0.0,750.0,5.0,53745.0,2275.0,63092.0,2155.0,65320.0
202115,ME,23,-0.8571428571428571,4.571428571428571,40.285714285714285,-13.571428571428571,-21.571428571428573,6.0,89.0,0.0,652021.0,362416.0,,302.6666666666667,6.0,764.0,14.0,56939.0,3194.0,64635.0,2295.0,66999.0
202116,ME,23,4.0,6.714285714285714,75.42857142857143,-6.142857142857143,-27.0,5.571428571428571,94.0,0.0,698363.0,415852.0,,284.3333333333333,0.0,772.0,8.0,59612.0,2673.0,61010.0,1760.0,62843.0
202117,ME,23,2.4285714285714284,7.571428571428571,60.0,-7.857142857142857,-20.285714285714285,5.0,98.0,0.0,741252.0,467741.0,,298.6666666666667,8.0,789.0,17.0,61616.0,2004.0,60688.0,1836.0,62589.0
202118,ME,23,7.142857142857143,13.142857142857142,84.85714285714286,-1.4285714285714286,-19.571428571428573,3.857142857142857,102.0,1.0,768149.0,516417.0,,292.6666666666667,5.333333333333333,795.0,6.0,63751.0,2135.0,52165.0,1349.0,53576.0
