epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr,symptom:Fever,symptom:Low-grade fever,symptom:Cough,symptom:Sore throat,symptom:Headache,symptom:Fatigue,symptom:Vomiting,symptom:Diarrhea,symptom:Shortness of breath,symptom:Chest pain,symptom:Dizziness,symptom:Confusion,symptom:Generalized tonic–clonic seizure,symptom:Weakness,ili
202149,NC,37,-6.285714286,3.142857143,-2.142857143,-16.71428571,-15.42857143,4.142857143,1214,42,7592363,5801466,,2324,326,18976,151,1566269,21725,229794,19913,249946,3.74,0.201428571,6.525714286,2.155714286,3.8,4.038571429,2.744285714,3.685714286,0.66,1.264285714,1.517142857,0.231428571,0.187142857,0.36,2.07274
202150,NC,37,-2.142857143,6.428571429,3,-13.42857143,-15.42857143,3.571428571,1310,45,7756346,5870080,,2202,187,19121,145,1589054,22785,230769,22455,253526,3.861428571,0.232857143,6.721428571,2.254285714,3.771428571,3.918571429,2.818571429,3.717142857,0.654285714,1.277142857,1.537142857,0.215714286,0.178571429,0.34,2.02761
202151,NC,37,-10.28571429,8,-6.571428571,-17.57142857,-40.57142857,7.857142857,1526,98,7937316,5926655,,2333.666667,310.6666667,19233,112,1607378,18324,268323,37600,306396,4.501428571,0.322857143,7.742857143,2.692857143,3.891428571,3.665714286,2.904285714,3.985714286,0.662857143,1.295714286,1.494285714,0.197142857,0.157142857,0.304285714,2.49851
202152,NC,37,-10,2.142857143,21,-18.57142857,-42.85714286,10,2225,180,8046107,5960280,,2265,223,19426,193,1686667,79289,267912,90830,359550,6.352857143,0.528571429,10.12714286,3.365714286,4.664285714,4.368571429,3.384285714,4.32,0.805714286,1.472857143,1.702857143,0.204285714,0.154285714,0.382857143,3.61623
202201,NC,37,-16.42857143,-1.428571429,-19.28571429,-24,-24.14285714,9.142857143,3349,174,8156749,5990741,,2243.333333,213.3333333,19619,193,1816380,129713,348716,159468,509724,6.158571429,0.53,9.688571429,3.221428571,4.584285714,4.497142857,2.974285714,4.052857143,0.774285714,1.47,1.6,0.231428571,0.155714286,0.391428571,3.35337
202202,NC,37,-16,5,-11.85714286,-26.85714286,-21,7.714285714,3998,114,8265792,6024798,,2573.666667,505.6666667,19903,284,2011302,194922,358285,167946,528609,6.351428571,0.537142857,9.14,3.21,4.378571429,4.254285714,2.825714286,3.765714286,0.771428571,1.451428571,1.53,0.22,0.157142857,0.457142857,2.94893
202203,NC,37,-36.57142857,-17.71428571,-35.42857143,-42.14285714,-42.28571429,15.57142857,4221,47,8404210,6084054,,2537.666667,443.6666667,20193,290,2212752,201450,293091,159072,454344,5.302857143,0.415714286,7.867142857,2.777142857,4.207142857,3.988571429,2.651428571,3.571428571,0.744285714,1.424285714,1.497142857,0.22,0.144285714,0.444285714,2.35444
202204,NC,37,-17.71428571,-3.857142857,-14.14285714,-29.14285714,-20.28571429,7.571428571,4248,25,8458728,6115285,,2807.333333,701.3333333,20595,402,2374866,162114,142692,61769,205405,4.158571429,0.28,6.317142857,2.098571429,4.087142857,4.274285714,2.687142857,3.652857143,0.738571429,1.39,1.551428571,0.232857143,0.172857143,0.425714286,1.46495
202205,NC,37,-13.85714286,-3.571428571,-4.571428571,-25.85714286,-17,5.714285714,3343,30,8518947,6147064,,2530.666667,439.3333333,21097,502,2470242,95376,195219,54773,250983,3.605714286,0.214285714,5.107142857,1.772857143,3.891428571,4.3,2.697142857,3.717142857,0.714285714,1.345714286,1.534285714,0.238571429,0.17,0.408571429,1.19115
202206,NC,37,-12,-1,17.14285714,-21.85714286,-16.57142857,4.571428571,2443,32,8561357,6174810,,2392.666667,336,21665,568,2525734,55492,113790,21478,135654,3.257142857,0.167142857,4.572857143,1.642857143,3.902857143,4.304285714,2.754285714,3.781428571,0.68,1.428571429,1.575714286,0.24,0.171428571,0.414285714,0.858706
202207,NC,37,-10.57142857,0.428571429,15.57142857,-19.28571429,-16.57142857,4.428571429,1765,32,8592470,6198087,,2221,196.6666667,22148,483,2559793,34059,181231,21046,202629,3.02,0.145714286,4.428571429,1.594285714,3.762857143,4.287142857,2.905714286,3.97,0.688571429,1.32,1.534285714,0.224285714,0.168571429,0.414285714,0.858312
202208,NC,37,-9,-2.714285714,22.85714286,-17.14285714,-16.85714286,4.428571429,1229,36,8620668,6217448,,2051.333333,56.66666667,22500,352,2583404,23611,152398,11350,163905,2.921428571,0.131428571,4.477142857,1.642857143,3.791428571,4.275714286,2.988571429,4.051428571,0.688571429,1.297142857,1.557142857,0.23,0.17,0.432857143,0.844878
202209,NC,37,-7.857142857,-1.142857143,32.14285714,-16.71428571,-15.42857143,3.142857143,822,54,8644927,6233692,,2081.333333,61.33333333,22763,263,2598014,14610,144048,6601,150772,2.842857143,0.128571429,4.458571429,1.707142857,4.032857143,4.195714286,2.908571429,3.955714286,0.654285714,1.242857143,1.837142857,0.231428571,0.165714286,0.414285714,0.812893
202210,NC,37,-11.14285714,-3.714285714,22.71428571,-20,-16.57142857,4.428571429,529,52,8666731,6248378,,1977.666667,0,22922,159,2608603,10589,112588,3564,116258,2.83,0.12,4.878571429,1.717142857,3.72,4.205714286,3.027142857,4.102857143,0.651428571,1.247142857,1.622857143,0.23,0.17,0.4,0.779782
202211,NC,37,-9.571428571,-2.857142857,43.85714286,-17.42857143,-16,3.714285714,389,15,8686389,6262277,,1895.666667,0,23058,136,2616864,8261,122656,3027,125755,2.924285714,0.132857143,4.75,1.87,3.678571429,4.284285714,3.08,4.127142857,0.645714286,1.231428571,1.574285714,0.225714286,0.171428571,0.43,0.899509
202212,NC,37,-8.714285714,-1.857142857,46.71428571,-17,-15,3.428571429,307,25,8700497,6271367,,1834.666667,0,23174,116,2624305,7441,116474,2725,119269,2.955714286,0.138571429,4.9,1.902857143,3.667142857,4.357142857,3.091428571,4.164285714,0.68,1.241428571,1.548571429,0.234285714,0.18,0.484285714,0.851207
202213,NC,37,-8.285714286,-1.142857143,47,-16.28571429,-15.42857143,3.142857143,276,37,8717837,6285143,,1913.666667,0,23215,41,2630506,6201,101666,2892,104635,3.06,0.154285714,4.971428571,1.905714286,3.595714286,4.292857143,3.1,4.098571429,0.658571429,1.198571429,1.567142857,0.23,0.167142857,0.424285714,0.948401
202214,NC,37,-7,0.571428571,53,-13.85714286,-14.42857143,2.714285714,237,45,8746674,6317964,,1832.666667,0,23257,42,2634007,3501,110432,4458,114951,3.261428571,0.167142857,5.311428571,2.008571429,3.654285714,4.348571429,3.211428571,4.251428571,0.692857143,1.2,1.622857143,0.241428571,0.182857143,0.428571429,1.17409
202215,NC,37,-5,4,69.28571429,-13.28571429,-22.42857143,3.142857143,282,53,8774675,6350479,,1808.333333,0,23334,77,2639241,5234,102278,6920,109257,3.377142857,0.175714286,5.56,2.062857143,3.632857143,4.267142857,3.177142857,4.281428571,0.7,1.195714286,1.59,0.231428571,0.171428571,0.384285714,1.23278
202216,NC,37,-10.57142857,-1,66.14285714,-13.85714286,-21.85714286,3.142857143,258,56,8798634,6377074,,1897.333333,0,23363,29,2647650,8409,69888,6404,76346,3.357142857,0.172857143,5.521428571,1.992857143,3.761428571,4.324285714,3.125714286,4.194285714,0.668571429,1.191428571,1.612857143,0.244285714,0.175714286,0.417142857,1.29547
202217,NC,37,-4.285714286,4.428571429,71.85714286,-12,-14.57142857,1.857142857,372,60,8822710,6401989,,2037,100,23405,42,2659255,11605,98923,11123,110115,3.444285714,0.177142857,5.3,1.894285714,3.632857143,4.314285714,2.922857143,4.114285714,0.667142857,1.181428571,1.582857143,0.247142857,0.185714286,0.417142857,1.22235
202218,NC,37,-2.428571429,6.714285714,61.28571429,-11.85714286,-15,1.857142857,424,51,8842201,6422230,,1947,26,24577,1172,2673326,14071,92051,13837,105989,3.577142857,0.192857143,5.124285714,1.914285714,3.601428571,4.192857143,2.871428571,3.935714286,0.645714286,1.177142857,1.564285714,0.227142857,0.178571429,0.385714286,1.24087
202219,NC,37,-4.571428571,4.571428571,58.28571429,-11.85714286,-16.14285714,2.285714286,499,47,8866394,6447495,,1887.333333,2.666666667,24588,11,2691805,18479,103171,19597,122905,3.784285714,0.21,5.564285714,2.13,3.72,4.354285714,2.892857143,3.944285714,0.641428571,1.235714286,1.577142857,0.224285714,0.164285714,0.387142857,1.48946
202220,NC,37,-6.285714286,4.428571429,74.71428571,-10.42857143,-16.42857143,2,622,54,8887332,6468262,,2053.666667,161.6666667,24627,39,2715798,23993,121676,25769,147611,3.931428571,0.228571429,5.722857143,2.237142857,3.805714286,4.274285714,2.811428571,4.082857143,0.658571429,1.207142857,1.66,0.222857143,0.165714286,0.408571429,1.57725
202221,NC,37,-7,4.285714286,57.85714286,-10.28571429,-18.42857143,3,707,34,8911525,6491185,,1944.666667,58.66666667,24644,17,2744935,29137,105978,23569,129701,3.831428571,0.212857143,5.66,2.177142857,3.807142857,4.131428571,2.751428571,4.707142857,0.642857143,1.225714286,1.637142857,0.205714286,0.162857143,0.41,1.55084
202222,NC,37,-5.428571429,5.714285714,84.42857143,-12.28571429,-25.57142857,3.714285714,812,30,8931030,6508837,,1967.333333,89.33333333,24660,16,2772730,27795,82452,19645,102178,3.797142857,0.208571429,5.597142857,2.198571429,3.832857143,4.355714286,2.842857143,4.171428571,0.654285714,1.248571429,1.681428571,0.204285714,0.161428571,0.397142857,1.73039
202223,NC,37,-4.571428571,5.285714286,77.42857143,-7.857142857,-19.71428571,3,786,45,8951027,6524828,,2044.666667,176.6666667,25094,434,2799515,26785,58225,13167,71470,3.695714286,0.19,5.32,2.095714286,3.967142857,4.317142857,2.761428571,4.168571429,0.66,1.282857143,1.687142857,0.212857143,0.172857143,0.418571429,1.56788
202224,NC,37,-6.428571429,5.285714286,68.57142857,-7.142857143,-22.42857143,3.285714286,782,73,8965529,6537109,,1934.333333,77.33333333,25140,46,2823979,24464,93813,20025,113942,3.628571429,0.185714286,4.954285714,1.975714286,3.945714286,4.25,2.755714286,4.15,0.648571429,1.262857143,1.768571429,0.232857143,0.164285714,0.4,1.37704
202225,NC,37,-6.142857143,5.142857143,81,-6.285714286,-23.14285714,3.142857143,773,48,8977384,6546339,,2080.666667,221.6666667,25151,11,2843077,19098,73880,17339,91321,3.581428571,0.181428571,4.801428571,1.955714286,3.95,4.367142857,2.731428571,4.098571429,0.652857143,1.235714286,1.78,0.228571429,0.167142857,0.404285714,1.30672
