date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask,smoothed_wtravel_outside_state_5d,smoothed_wspent_time_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
2021-09-25,202138,UT,49,-0.42857142857142900,2.0,101.28571428571400,-2.5714285714285700,-21.0,2.857142857142860,191.39857142857100,560.0,2.0,1882545.0,1469072.0,82.5392714142857,14.658762885714300,,,,9.4,472.0,105.0,2869.0,82.0,0.9940888,1.0360438857142900,500698.0,9713.0,71096.0,8485.0,79841.0
2021-10-02,202139,UT,49,-1.0,2.7142857142857100,96.14285714285710,-4.714285714285710,-20.714285714285700,3.142857142857140,189.75714285714300,538.0,2.0,1895530.0,1488754.0,82.71556012857140,18.11862215714290,,,,10.6,468.6666666666670,102.66666666666700,2943.0,74.0,1.2029828714285700,1.1498392571428600,510209.0,9511.0,67796.0,8518.0,76526.0
2021-10-09,202140,UT,49,0.0,1.8571428571428600,75.14285714285710,-5.428571428571430,-21.0,3.857142857142860,189.17285714285700,575.0,2.0,1917035.0,1518609.0,82.90220314285720,18.849404485714300,,,,10.0,457.6666666666670,90.66666666666670,2994.0,51.0,2.2073747857142900,2.105742857142860,520190.0,9981.0,70451.0,8876.0,79572.0
2021-10-16,202141,UT,49,-0.2857142857142860,0.0,53.857142857142900,-5.0,-24.428571428571400,4.571428571428570,184.50571428571400,503.0,2.0,1929522.0,1536493.0,81.20319885714290,22.105347728571400,,,,9.1,471.6666666666670,102.66666666666700,3067.0,73.0,2.1582101285714300,2.3305339857142900,529147.0,8957.0,66986.0,8374.0,75581.0
2021-10-23,202142,UT,49,-1.2857142857142900,-0.42857142857142900,49.142857142857100,-5.857142857142860,-22.428571428571400,4.0,185.70285714285700,532.0,3.0,1945336.0,1553848.0,80.47611727142860,17.025902185714300,,,,9.7,452.0,80.0,3128.0,61.0,2.0022778857142900,2.0883722857142900,538895.0,9748.0,68221.0,9343.0,77833.0
2021-10-30,202143,UT,49,-1.5714285714285700,1.8571428571428600,40.57142857142860,-8.714285714285710,-20.428571428571400,4.0,180.26857142857100,545.0,0.0,1959857.0,1569796.0,80.16060547142860,20.40950564285710,,,,10.5,535.3333333333330,159.33333333333300,3208.0,80.0,1.8738198857142900,1.8603797142857100,549882.0,10987.0,57340.0,8239.0,65837.0
2021-11-06,202144,UT,49,-2.857142857142860,-0.7142857142857140,34.714285714285700,-12.142857142857100,-19.857142857142900,4.571428571428570,167.71142857142900,593.0,0.0,1975028.0,1589372.0,91.1684333857143,22.6960744,,,,9.0,496.6666666666670,119.66666666666700,3286.0,78.0,2.4324413142857100,2.4304370857142900,560604.0,10722.0,60167.0,8200.0,68579.0
2021-11-13,202145,UT,49,-1.2857142857142900,-0.42857142857142900,21.714285714285700,-11.857142857142900,-20.142857142857100,5.0,170.87285714285700,538.0,2.0,1987818.0,1605303.0,81.91042965714290,18.601256014285700,,,,9.6,467.6666666666670,90.66666666666670,3347.0,61.0,2.2575532714285700,2.3335855,571507.0,10903.0,73916.0,10036.0,84198.0
2021-11-20,202146,UT,49,-2.0,1.0,16.0,-9.857142857142860,-19.0,4.571428571428570,174.24714285714300,515.0,1.0,2038173.0,1631947.0,80.03002164285720,21.53265664285710,,,,8.2,460.6666666666670,80.66666666666670,3428.0,81.0,2.041405842857140,2.0693010857142900,582929.0,11422.0,74156.0,9614.0,84040.0
2021-11-27,202147,UT,49,-6.285714285714290,5.142857142857140,26.142857142857100,-16.142857142857100,-39.285714285714300,8.0,165.19142857142900,484.0,0.0,2041421.0,1633430.0,81.38534334285720,19.943962285714300,,,,8.5,452.0,69.0,3487.0,59.0,1.5862677285714300,1.6331276857142900,592130.0,9201.0,63976.0,7748.0,72054.0
2021-12-04,202148,UT,49,-2.857142857142860,0.14285714285714300,20.714285714285700,-11.0,-19.0,4.571428571428570,173.63000000000000,515.0,5.0,2085759.0,1658083.0,82.8917582142857,14.154897414285700,,,,10.6,482.0,96.0,3564.0,77.0,1.9303440857142900,1.9303440857142900,601952.0,9822.0,76981.0,9186.0,86447.0
2021-12-11,202149,UT,49,-3.142857142857140,0.42857142857142900,1.1428571428571400,-15.571428571428600,-17.857142857142900,5.285714285714290,171.61142857142900,485.0,2.0,2113432.0,1701471.0,84.34685575714290,14.93421557142860,,,,10.1,493.3333333333330,105.33333333333300,3640.0,76.0,2.2800361714285700,2.3518493571428600,610681.0,8729.0,69865.0,7614.0,77695.0
2021-12-18,202150,UT,49,0.8571428571428570,3.857142857142860,-3.0,-10.428571428571400,-19.714285714285700,5.285714285714290,185.27857142857100,451.0,4.0,2131735.0,1730263.0,82.99040872857140,13.863509400000000,,,,7.9,463.0,70.0,3704.0,64.0,1.6038656142857100,1.7614928857142900,617697.0,7016.0,69410.0,6613.0,76255.0
2021-12-25,202151,UT,49,-2.4285714285714300,8.142857142857140,4.857142857142860,-18.571428571428600,-43.714285714285700,8.285714285714290,165.1642857142860,426.0,7.0,2144450.0,1746529.0,82.55741600000000,12.257460914285700,,,,6.9,479.0,83.0,3754.0,50.0,1.7180820714285700,1.7799360714285700,623703.0,6006.0,72759.0,9586.0,82600.0
2022-01-01,202152,UT,49,-7.714285714285710,-5.285714285714290,-7.571428571428570,-22.714285714285700,-46.714285714285700,12.0,171.11000000000000,481.0,6.0,2160299.0,1763670.0,96.23919507142860,14.753332,,,,9.6,467.3333333333330,67.33333333333330,3787.0,33.0,3.651928585714290,3.831579614285710,636992.0,13289.0,70373.0,19908.0,90649.0
2022-01-08,202201,UT,49,-11.0,-3.7142857142857100,-11.0,-20.285714285714300,-23.142857142857100,8.285714285714290,165.2242857142860,648.0,2.0,2176790.0,1782068.0,84.628731,19.097783085714300,,,,21.1,509.0,105.0,3887.0,100.0,5.085979571428570,5.169182957142860,682036.0,45044.0,96885.0,47013.0,144737.0
2022-01-15,202202,UT,49,-13.142857142857100,-5.142857142857140,-3.0,-22.0,-24.142857142857100,8.285714285714290,163.11285714285700,920.0,2.0,2192736.0,1799493.0,83.81262592857150,27.768534671428600,,,,27.3,467.3333333333330,62.333333333333300,3951.0,64.0,5.1961139,5.367907414285710,750334.0,68298.0,90448.0,54747.0,146123.0
2022-01-22,202203,UT,49,-13.0,-7.0,-0.14285714285714300,-23.428571428571400,-28.428571428571400,8.857142857142860,162.50142857142900,1173.0,5.0,2213501.0,1812860.0,83.96486462857140,35.69555544285710,,,,29.6,514.0,107.0,4030.0,79.0,5.194750328571430,5.451827214285710,825989.0,75655.0,87918.0,56086.0,145116.0
2022-01-29,202204,UT,49,-12.285714285714300,-7.285714285714290,1.1428571428571400,-19.571428571428600,-20.571428571428600,6.857142857142860,164.89000000000000,1116.0,6.0,2233921.0,1831509.0,83.78262648571430,34.30485364285710,,,,22.7,525.0,114.0,4107.0,77.0,3.867437471428570,4.049362285714290,875251.0,49262.0,70045.0,32876.0,103628.0
