epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr,ili
202107,WV,54,-26.42857143,-12.42857143,-23.28571429,-27.85714286,-28.57142857,11.14285714,238,5,273906,0,,495.6666667,22,2254,53,129364,2082,37665,2243,39969,0.567713
202108,WV,54,-10.71428571,-4.285714286,1.428571429,-12,-18,5.857142857,192,5,302863,0,,481,6.666666667,2297,43,131580,2216,44728,2562,47371,0.703613
202109,WV,54,-6.428571429,-0.714285714,4,-8.571428571,-18.14285714,5.428571429,132,6,345274,219917,,494.3333333,13.33333333,2323,26,133290,1710,41466,2022,43559,0.624329
202110,WV,54,-4.285714286,0.714285714,26.14285714,-2.857142857,-16.85714286,4.285714286,138,0,397640,246830,,479,6,2519,196,135149,1859,40656,1934,42660,0.535957
202111,WV,54,4.142857143,3.714285714,23.42857143,1,-16.71428571,3.714285714,147,0,450766,276506,,498.6666667,20.66666667,2600,81,137478,2329,40499,2315,42860,0.442618
202112,WV,54,3.714285714,4.285714286,41.28571429,5.142857143,-17,3.142857143,164,0,501565,314994,,504.3333333,31.33333333,2631,31,140316,2838,39920,2518,42492,0.828685
202113,WV,54,4.571428571,8,24.42857143,5.714285714,-19.85714286,4.285714286,218,0,557107,367190,,474.6666667,8.666666667,2693,62,143106,2790,42634,3147,45836,0.567275
202114,WV,54,1.571428571,6.571428571,56.85714286,9.428571429,-19.71428571,2.714285714,257,15,590844,411020,,475,14,2742,49,145754,2648,38847,3078,41982,0.737683
202115,WV,54,1.285714286,4.428571429,35.14285714,5.571428571,-16.71428571,3.571428571,217,0,614417,459631,,497.6666667,37.66666667,2780,38,148517,2763,40057,3134,43320,0.62968
202116,WV,54,-0.285714286,4.714285714,38.71428571,3.571428571,-17,3.857142857,237,1,628685,507602,,462,8,2817,37,151068,2551,37671,2633,40364,0.700631
202117,WV,54,2.285714286,7.571428571,56.28571429,6.428571429,-16,2.571428571,223,5,641217,543800,,509,53,2679,180,153498,2430,35648,2638,38337,0.881286
202118,WV,54,3.285714286,10.57142857,46.71428571,5.285714286,-16.42857143,2.857142857,242,1,650400,567054,,473.6666667,25.33333333,2726,47,156001,2503,33305,2381,35732,0.700509
