epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask_7d,smoothed_wspent_time_indoors_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
202028,ID,16,3.857142857,17.57142857,264.3333333,19.42857143,-26.42857143,3.428571429,227.5214286,,,,,,,,,,282,4,102,9,0.6721601571,0.7778604429,10506,3136,20892,5044,25955
202029,ID,16,2.857142857,17.71428571,261,16.14285714,-25.85714286,3.571428571,224.8728571,59,,,,,,,,,303.3333333,23.33333333,119,17,0.8539922857,0.8935063714,14303,3797,25053,6468,31635
202030,ID,16,2.285714286,17.42857143,248.2,18.14285714,-26,3.428571429,229.6385714,137,,,,,,,,,313,33,146,27,1.029292357,1.0601897,17826,3523,26505,6071,32673
202031,ID,16,1.857142857,16.57142857,242.4,18.85714286,-26.42857143,3.428571429,231.2014286,145,,,,,,,,,310.3333333,32,197,51,0.8701117286,0.8636791571,21110,3284,23456,5149,28708
202032,ID,16,3.714285714,17,237.8,21.14285714,-26.14285714,2.857142857,231.8957143,145,,,,,,,,,298.6666667,22,235,38,0.6646777571,0.7133858,24497,3387,26758,6541,33436
202033,ID,16,3,14.42857143,231.6,20.85714286,-25.85714286,2.571428571,235.7071429,126,,,,,,,,,308,27,269,34,0.6355831286,0.7303714143,27475,2978,23812,3727,27637
202034,ID,16,2.714285714,12.42857143,,17.14285714,-24.85714286,2.857142857,232.2214286,149,,,,,,,,,341,61,306,37,1.182225814,1.245920386,29659,2184,21375,3151,24578
202035,ID,16,1.285714286,10.42857143,199,12.14285714,-23.42857143,2.857142857,217.6585714,107,,,,,,,,,317.6666667,38.66666667,358,52,1.215947586,1.272552486,31668,2009,17284,2142,19447
202036,ID,16,3.714285714,14.14285714,,14.71428571,-24.28571429,1.857142857,221.1957143,106,,,,,,,,,339.3333333,60.33333333,384,26,1.194059,1.217928743,33474,1806,18377,2692,21089
202037,ID,16,2.714285714,11.85714286,177.5,13.71428571,-29.57142857,2.571428571,229.3528571,103,,,,,,,,,312.6666667,32.66666667,415,31,0.7656747429,0.7501740143,35167,1693,17156,2125,19338
